hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458126.59053,be,V,12.608,0.02,34.733,0.639
2457129.50789,be,V,12.613,0.02,34.572,0.636
2457071.64107,bf,V,12.567,0.02,36.259,0.667
2457060.61287,bf,V,12.576,0.02,36.013,0.663
2457039.60782,be,V,12.577,0.02,35.739,0.658
2456983.59569,be,V,12.621,0.02,34.331,0.632
2456855.93393,be,V,12.64,0.02,33.713,0.62
2458380.7785,be,V,12.586,0.02,35.426,0.652
2458352.85562,be,V,12.538,0.02,37.054,0.682
2458034.71867,be,V,12.666,0.02,32.929,0.606
2457625.83874,be,V,12.582,0.02,35.559,0.654
2457384.69227,be,V,12.554,0.02,36.504,0.672
2457278.78882,be,V,12.608,0.02,34.718,0.639
2457005.64362,bf,V,12.604,0.02,35.045,0.645
2458094.55229,be,V,12.642,0.02,33.665,0.619
2457389.62466,be,V,12.635,0.02,33.87,0.623
2457140.51632,bf,V,12.58,0.02,35.862,0.66
2457089.62039,be,V,12.557,0.02,36.385,0.669
2457050.59665,bf,V,12.624,0.02,34.398,0.633
2457038.64285,bf,V,12.672,0.02,32.929,0.606
2457018.66864,bf,V,12.59,0.02,35.506,0.653
2456980.72412,bf,V,12.567,0.02,36.267,0.667
2458160.58542,be,V,12.691,0.02,32.181,0.592
2458148.68355,be,V,12.588,0.02,35.384,0.651
2457399.60057,be,V,12.64,0.02,33.737,0.621
2457266.8109,be,V,12.613,0.02,34.555,0.636
2457065.67636,be,V,12.672,0.02,32.733,0.602
2457000.65579,be,V,12.687,0.02,32.286,0.594
2458157.67061,be,V,12.592,0.02,35.238,0.648
2458021.75552,be,V,12.559,0.02,36.32,0.668
2458019.76243,be,V,12.605,0.02,34.836,0.641
2457800.56646,be,V,12.576,0.02,35.758,0.658
2457780.58242,be,V,12.638,0.02,33.772,0.621
2457764.66515,be,V,12.576,0.02,35.768,0.658
2457458.61699,be,V,12.669,0.02,32.825,0.604
2457126.52719,bf,V,12.7,0.02,32.08,0.59
2457021.66664,bf,V,12.706,0.02,31.921,0.587
2457002.64566,bf,V,12.647,0.02,33.697,0.62
2456961.74225,be,V,12.559,0.02,36.328,0.668
2458368.81182,be,V,12.56,0.02,36.306,0.668
2458132.69266,be,V,12.592,0.02,35.247,0.649
2457273.8968,bf,V,12.584,0.02,35.714,0.657
2457003.64368,be,V,12.517,0.02,37.776,0.695
2456895.87651,bf,V,12.651,0.02,33.568,0.618
2458087.67158,be,V,12.587,0.02,35.416,0.652
2457803.60838,be,V,12.656,0.02,33.232,0.611
2457020.63168,be,V,12.558,0.02,36.367,0.669
2458331.91217,be,V,12.581,0.02,35.621,0.655
2458016.77437,be,V,12.582,0.02,35.562,0.654
2457052.59128,be,V,12.612,0.02,34.603,0.637
2457046.68298,bf,V,12.622,0.02,34.477,0.634
2457029.63723,bf,V,12.612,0.02,34.792,0.64
2456889.89896,be,V,12.661,0.02,33.079,0.609
2458032.7255,be,V,12.687,0.02,32.302,0.594
2458018.76609,be,V,12.553,0.02,36.542,0.672
2457835.56916,be,V,12.548,0.02,36.697,0.675
2457768.70849,be,V,12.563,0.02,36.211,0.666
2457710.67633,be,V,12.617,0.02,34.436,0.634
2457662.73946,be,V,12.666,0.02,32.929,0.606
2457276.79631,be,V,12.608,0.02,34.721,0.639
2457043.64473,bf,V,12.615,0.02,34.685,0.638
2457009.65495,be,V,12.631,0.02,34.016,0.626
2456878.89134,be,V,12.628,0.02,34.085,0.627
2457821.61366,be,V,12.557,0.02,36.4,0.67
2457750.5893,be,V,12.593,0.02,35.228,0.648
2457670.71947,be,V,12.626,0.02,34.144,0.628
2456983.70111,bf,V,12.62,0.02,34.53,0.635
2456948.7763,bf,V,12.604,0.02,35.067,0.645
2458118.74017,be,V,12.648,0.02,33.463,0.616
2457958.91491,be,V,12.565,0.02,36.135,0.665
2457383.65088,be,V,12.589,0.02,35.353,0.65
2457141.50514,bf,V,12.594,0.02,35.391,0.651
2457084.5714,bf,V,12.69,0.02,32.392,0.596
2456970.63927,be,V,12.545,0.02,36.816,0.677
2458382.83547,be,V,12.584,0.02,35.52,0.654
2458086.78824,be,V,12.579,0.02,35.687,0.657
2458080.5899,be,V,12.63,0.02,34.027,0.626
2457805.60671,be,V,12.634,0.02,33.896,0.624
2457376.84099,be,V,12.607,0.02,34.758,0.64
2457091.63168,bf,V,12.578,0.02,35.916,0.661
2457040.60749,be,V,12.658,0.02,33.178,0.61
2457691.71693,be,V,12.543,0.02,36.877,0.679
2457420.64173,be,V,12.632,0.02,33.978,0.625
2458084.78299,be,V,12.564,0.02,36.178,0.666
2457033.6195,be,V,12.551,0.02,36.617,0.674
2457004.63471,bf,V,12.661,0.02,33.261,0.612
2458045.69012,be,V,12.636,0.02,33.833,0.623
2457160.44695,bf,V,12.61,0.02,34.863,0.641
2457027.64451,bf,V,12.644,0.02,33.807,0.622
2456920.85832,bf,V,12.622,0.02,34.468,0.634
2457956.91817,be,V,12.56,0.02,36.296,0.668
2457742.64467,be,V,12.663,0.02,33.023,0.608
2457479.48609,be,V,12.684,0.02,32.393,0.596
2457416.71804,be,V,12.653,0.02,33.336,0.613
2457292.78914,be,V,12.673,0.02,32.716,0.602
2457258.83022,be,V,12.558,0.02,36.357,0.669
2457070.60507,bf,V,12.584,0.02,35.698,0.657
2457051.65399,bf,V,12.599,0.02,35.204,0.648
2457037.61395,be,V,12.617,0.02,34.441,0.634
2457009.68041,bf,V,12.63,0.02,34.228,0.63
2457005.64115,be,V,12.626,0.02,34.164,0.629
2456950.77665,bf,V,12.612,0.02,34.781,0.64
2456873.89628,bf,V,12.572,0.02,36.108,0.664
2458043.71958,be,V,12.602,0.02,34.935,0.643
2458022.75132,be,V,12.586,0.02,35.443,0.652
2457825.59043,be,V,12.58,0.02,35.637,0.656
2457721.70537,be,V,12.673,0.02,32.72,0.602
2457698.72127,be,V,12.667,0.02,32.883,0.605
2457337.80405,be,V,12.61,0.02,34.668,0.638
2456973.70727,bf,V,12.622,0.02,34.478,0.634
2456918.78664,be,V,12.642,0.02,33.669,0.62
2458342.93308,be,V,12.592,0.02,35.251,0.649
2458340.88931,be,V,12.576,0.02,35.777,0.658
2458334.90698,be,V,12.553,0.02,36.523,0.672
2458133.68069,be,V,12.654,0.02,33.295,0.613
2457830.60574,be,V,12.699,0.02,31.93,0.588
2457419.72452,be,V,12.601,0.02,34.961,0.643
2457133.52427,bf,V,12.561,0.02,36.479,0.671
2457078.56293,be,V,12.586,0.02,35.441,0.652
2456996.66305,be,V,12.628,0.02,34.089,0.627
2458161.55643,be,V,12.625,0.02,34.2,0.629
2458158.65588,be,V,12.685,0.02,32.347,0.595
2458085.65211,be,V,12.575,0.02,35.818,0.659
2458035.86401,be,V,12.509,0.02,38.049,0.7
2457789.71426,be,V,12.561,0.02,36.28,0.668
2457134.49415,be,V,12.646,0.02,33.551,0.617
2457130.50876,be,V,12.675,0.02,32.644,0.601
2456972.69721,be,V,12.615,0.02,34.521,0.635
2456889.90505,bf,V,12.655,0.02,33.454,0.616
2456886.87742,be,V,12.555,0.02,36.477,0.671
2458377.78796,be,V,12.623,0.02,34.267,0.631
2458347.86854,be,V,12.592,0.02,35.258,0.649
2458159.70336,be,V,12.545,0.02,36.79,0.677
2457717.73639,be,V,12.577,0.02,35.738,0.658
2457635.89589,be,V,12.677,0.02,32.592,0.6
2457257.92518,bf,V,12.613,0.02,34.778,0.64
2457110.59031,bf,V,12.549,0.02,36.87,0.678
2457043.63036,be,V,12.609,0.02,34.697,0.638
2458142.68588,be,V,12.543,0.02,36.885,0.679
2457386.70834,be,V,12.559,0.02,36.327,0.668
2457112.56035,be,V,12.539,0.02,37.023,0.681
2457042.66676,bf,V,12.709,0.02,31.835,0.586
2456920.85266,be,V,12.613,0.02,34.577,0.636
2458186.59125,be,V,12.573,0.02,35.858,0.66
2458136.68016,be,V,12.637,0.02,33.817,0.622
2457046.68885,be,V,12.64,0.02,33.726,0.621
2456999.66546,be,V,12.565,0.02,36.142,0.665
2456848.95355,be,V,12.574,0.02,35.847,0.66
2458103.84713,be,V,12.573,0.02,35.88,0.66
2458101.82524,be,V,12.589,0.02,35.346,0.65
2457784.56837,be,V,12.633,0.02,33.944,0.625
2457589.92544,be,V,12.641,0.02,33.688,0.62
2457441.57681,be,V,12.64,0.02,33.733,0.621
2457224.92549,be,V,12.582,0.02,35.572,0.655
2457135.50214,bf,V,12.58,0.02,35.871,0.66
2457116.57242,bf,V,12.583,0.02,35.752,0.658
2457111.5853,bf,V,12.576,0.02,35.959,0.662
2457080.57727,bf,V,12.634,0.02,34.107,0.628
2457049.6098,be,V,12.587,0.02,35.414,0.652
2458150.64387,be,V,12.61,0.02,34.657,0.638
2458385.76497,be,V,12.626,0.02,34.157,0.628
2458041.71427,be,V,12.57,0.02,35.952,0.662
2457798.69463,be,V,12.544,0.02,36.854,0.678
2457418.5956,be,V,12.648,0.02,33.473,0.616
2457017.67145,bf,V,12.673,0.02,32.883,0.605
2457004.64379,be,V,12.642,0.02,33.673,0.62
2456810.44538,bf,V,12.582,0.02,35.768,0.658
2456795.45859,bf,V,12.581,0.02,35.789,0.659
2457848.55091,be,V,12.578,0.02,35.706,0.657
2457827.5968,be,V,12.597,0.02,35.095,0.646
2458372.80167,be,V,12.504,0.02,38.236,0.704
2457466.59472,be,V,12.597,0.02,35.096,0.646
2457429.67698,be,V,12.668,0.02,32.867,0.605
2457031.63257,be,V,12.531,0.02,37.283,0.686
2457026.70869,be,V,12.615,0.02,34.508,0.635
2456858.926,be,V,12.573,0.02,35.856,0.66
2457476.56554,be,V,12.578,0.02,35.695,0.657
2457312.82572,be,V,12.542,0.02,36.897,0.679
2457126.52061,be,V,12.662,0.02,33.034,0.608
2457017.71835,be,V,12.664,0.02,32.996,0.607
2457008.66062,bf,V,12.626,0.02,34.35,0.632
2457007.5409,bf,V,12.608,0.02,34.908,0.642
2456975.76549,bf,V,12.693,0.02,32.282,0.594
2456968.78596,be,V,12.583,0.02,35.532,0.654
2456793.46106,be,V,12.642,0.02,33.67,0.62
2458355.84896,be,V,12.538,0.02,37.055,0.682
2458134.69983,be,V,12.543,0.02,36.869,0.678
2457864.50152,be,V,12.629,0.02,34.081,0.627
2457058.68031,be,V,12.579,0.02,35.68,0.657
2456936.79498,bf,V,12.616,0.02,34.652,0.638
2456930.74949,be,V,12.534,0.02,37.169,0.684
2457983.85808,be,V,12.596,0.02,35.116,0.646
2457945.94919,be,V,12.607,0.02,34.753,0.639
2457325.70472,be,V,12.588,0.02,35.371,0.651
2457318.74191,be,V,12.558,0.02,36.377,0.669
2457304.72683,be,V,12.576,0.02,35.784,0.658
2457265.81442,be,V,12.662,0.02,33.04,0.608
2457227.90559,be,V,12.615,0.02,34.497,0.635
2457142.49886,be,V,12.538,0.02,37.055,0.682
2456927.87915,bf,V,12.596,0.02,35.357,0.651
2456846.95003,be,V,12.566,0.02,36.112,0.664
2458164.56971,be,V,12.653,0.02,33.335,0.613
2457980.86865,be,V,12.599,0.02,35.026,0.644
2457831.5371,be,V,12.596,0.02,35.126,0.646
2457148.46218,bf,V,12.588,0.02,35.579,0.655
2457085.61738,be,V,12.581,0.02,35.589,0.655
2457033.63095,bf,V,12.558,0.02,36.585,0.673
2456904.84232,be,V,12.598,0.02,35.055,0.645
2458147.66453,be,V,12.585,0.02,35.458,0.652
2458122.71558,be,V,12.605,0.02,34.815,0.641
2457770.76772,be,V,12.614,0.02,34.541,0.636
2457666.73317,be,V,12.609,0.02,34.69,0.638
2457452.63987,be,V,12.672,0.02,32.746,0.603
2457404.72236,be,V,12.629,0.02,34.064,0.627
2457049.62706,bf,V,12.567,0.02,36.274,0.667
2457713.6545,be,V,12.598,0.02,35.064,0.645
2457347.69543,be,V,12.659,0.02,33.142,0.61
2457158.45501,bf,V,12.57,0.02,36.215,0.666
2457076.58358,bf,V,12.582,0.02,35.782,0.658
2456971.70043,be,V,12.625,0.02,34.203,0.629
2456891.85444,be,V,12.687,0.02,32.29,0.594
2456796.45199,bf,V,12.634,0.02,34.099,0.627
2458320.92159,be,V,12.608,0.02,34.729,0.639
2457718.66964,be,V,12.592,0.02,35.238,0.648
2457388.76868,be,V,12.6,0.02,34.991,0.644
2457364.75965,be,V,12.66,0.02,33.115,0.609
2457110.56366,be,V,12.537,0.02,37.087,0.682
2456988.59113,be,V,12.562,0.02,36.239,0.667
2456988.57849,bf,V,12.565,0.02,36.349,0.669
2457994.82811,be,V,12.617,0.02,34.441,0.634
2457816.63888,be,V,12.557,0.02,36.398,0.67
2457133.4824,be,V,12.557,0.02,36.386,0.67
